Linux 5.3.0-40-generic (juandiegoa-X411UA) 	22/04/20 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          14,17    0,02    3,43    3,33    0,00   79,06

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0,00         0,01         0,00        345          0
loop1             0,03         0,10         0,00       2702          0
loop2             0,01         0,02         0,00        527          0
loop3             0,18         0,20         0,00       5252          0
loop4             0,00         0,04         0,00       1093          0
loop5             1,10         1,13         0,00      30546          0
loop6             0,01         0,06         0,00       1588          0
loop7             0,81         0,84         0,00      22697          0
sda              27,01       261,97       460,00    7054707   12387649
loop8             0,01         0,02         0,00        555          0
loop9             0,02         0,05         0,00       1423          0
loop10            0,00         0,04         0,00       1074          0
loop11            2,93         2,97         0,00      79879          0
loop12            0,00         0,02         0,00        415          0
loop13            0,01         0,04         0,00       1197          0
loop14            1,34         1,37         0,00      37008          0
loop15            0,80         0,81         0,00      21770          0
loop16            0,00         0,04         0,00       1129          0
loop17            0,01         0,05         0,00       1219          0
loop18            0,03         0,04         0,00       1052          0
loop19            0,01         0,06         0,00       1681          0
loop20            9,94         9,97         0,00     268537          0
loop21            0,00         0,04         0,00       1151          0
loop22            2,53         2,56         0,00      69033          0
loop23            0,00         0,04         0,00       1092          0
loop24            1,14         1,17         0,00      31617          0
loop25            0,05         0,06         0,00       1508          0
loop26            6,57         6,61         0,00     177955          0

