Linux 5.3.0-40-generic (juandiegoa-X411UA) 	22/04/20 	_x86_64_	(8 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          12,12    0,02    3,07    3,61    0,00   81,18

Device             tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn
loop0             0,00         0,01         0,00        345          0
loop1             0,03         0,11         0,00       2702          0
loop2             0,01         0,02         0,00        527          0
loop3             0,14         0,15         0,00       3652          0
loop4             0,00         0,04         0,00       1093          0
loop5             1,08         1,12         0,00      27542          0
loop6             0,01         0,06         0,00       1588          0
loop7             0,69         0,74         0,00      18159          0
sda              20,63       254,41       396,39    6280171    9784725
loop8             0,01         0,02         0,00        555          0
loop9             0,02         0,06         0,00       1423          0
loop10            0,00         0,04         0,00       1074          0
loop11            3,19         3,24         0,00      79879          0
loop12            0,00         0,02         0,00        415          0
loop13            0,01         0,05         0,00       1197          0
loop14            1,41         1,45         0,00      35800          0
loop15            0,76         0,77         0,00      18948          0
loop16            0,00         0,05         0,00       1129          0
loop17            0,01         0,05         0,00       1219          0
loop18            0,03         0,04         0,00       1052          0
loop19            0,02         0,07         0,00       1681          0
loop20           10,84        10,88         0,00     268537          0
loop21            0,01         0,05         0,00       1151          0
loop22            2,74         2,78         0,00      68677          0
loop23            0,00         0,04         0,00       1092          0
loop24            1,21         1,25         0,00      30976          0
loop25            0,05         0,06         0,00       1408          0
loop26            3,63         3,67         0,00      90577          0

